Num,Player,Club,Birth Place,Birth Date,Años
20,Alexis Mac Allister,1.eng Brighton,"Santa Rosa, Argentina",12/24/1998,24
15,Ángel Correa,1.es Atlético Madrid,"Rosario, Argentina",3/9/1995,28
11,Ángel Di María,1.it Juventus,"Rosario, Argentina",2/14/1988,35
13,Cristian Romero,1.eng Tottenham,"Córdoba, Argentina",4/27/1998,25
23,Emiliano Martínez,1.eng Aston Villa,"Mar del Plata, Argentina",9/2/1992,31
24,Enzo Fernández,1.pt Benfica,"Argentina, Argentina",1/17/2001,22
14,Exequiel Palacios,1.de Leverkusen,"Famaillá, Argentina",10/5/1998,25
1,Franco Armani,1.ar River Plate,"Casilda, Argentina",10/16/1986,36
6,Germán Pezzella,1.es Betis,"Bahía Blanca, Argentina",6/27/1991,32
12,Gerónimo Rulli,1.es Villarreal,"La Plata, Argentina",5/20/1992,31
4,Gonzalo Montiel,1.es Sevilla,"González Catán, Argentina",1/1/1997,26
18,Guido Rodríguez,1.es Betis,"Sáenz Peña, Argentina",4/12/1994,29
2,Juan Foyth,1.es Villarreal,"La Plata, Argentina",1/12/1998,25
9,Julián Álvarez,1.eng Manchester City,"Argentina, Argentina",1/31/2000,23
22,Lautaro Martínez,1.it Inter,"Bahía Blanca, Argentina",8/22/1997,26
5,Leandro Paredes,1.it Juventus,"San Justo, Argentina",6/29/1994,29
10,Lionel Messi,1.fr Paris S-G,"Rosario, Argentina",6/24/1987,36
25,Lisandro Martínez,1.eng Manchester Utd,"Gualeguay, Argentina",1/18/1998,25
8,Marcos Acuña,1.es Sevilla,"Zapala, Argentina",10/28/1991,31
26,Nahuel Molina,1.es Atlético Madrid,"Embalse, Argentina",4/6/1998,25
19,Nicolás Otamendi,1.pt Benfica,"Buenos Aires, Argentina",2/12/1988,35
3,Nicolás Tagliafico,1.fr Lyon,"Buenos Aires, Argentina",8/31/1992,31
17,Papu Gómez,1.es Sevilla,"Buenos Aires, Argentina",2/15/1988,35
21,Paulo Dybala,1.it Roma,"Laguna Larga, Argentina",11/15/1993,29
7,Rodrigo De Paul,1.es Atlético Madrid,"Sarandí, Argentina",5/24/1994,29
16,Thiago Almada,1.us Atlanta Utd,"Argentina, Argentina",4/26/2001,22
